"DATETIME","COUNT","DOW","HOUR","DAY"
2013-01-07 20:00:00,8,"Monday",20,7
2013-01-07 21:00:00,7,"Monday",21,7
2013-01-07 22:00:00,4,"Monday",22,7
2013-01-07 23:00:00,4,"Monday",23,7
2013-01-08 00:00:00,0,"Tuesday",0,8
2013-01-08 01:00:00,1,"Tuesday",1,8
2013-01-08 02:00:00,0,"Tuesday",2,8
2013-01-08 03:00:00,1,"Tuesday",3,8
2013-01-08 04:00:00,2,"Tuesday",4,8
2013-01-08 05:00:00,3,"Tuesday",5,8
2013-01-08 06:00:00,3,"Tuesday",6,8
2013-01-08 07:00:00,3,"Tuesday",7,8
2013-01-08 08:00:00,6,"Tuesday",8,8
2013-01-08 09:00:00,6,"Tuesday",9,8
2013-01-08 10:00:00,7,"Tuesday",10,8
2013-01-08 11:00:00,6,"Tuesday",11,8
2013-01-08 12:00:00,8,"Tuesday",12,8
2013-01-08 13:00:00,14,"Tuesday",13,8
2013-01-08 14:00:00,17,"Tuesday",14,8
2013-01-08 15:00:00,12,"Tuesday",15,8
2013-01-08 16:00:00,9,"Tuesday",16,8
2013-01-08 17:00:00,12,"Tuesday",17,8
2013-01-08 18:00:00,9,"Tuesday",18,8
2013-01-08 19:00:00,10,"Tuesday",19,8
2013-01-08 20:00:00,13,"Tuesday",20,8
2013-01-08 21:00:00,13,"Tuesday",21,8
2013-01-08 22:00:00,7,"Tuesday",22,8
2013-01-08 23:00:00,6,"Tuesday",23,8
2013-01-09 00:00:00,2,"Wednesday",0,9
2013-01-09 01:00:00,4,"Wednesday",1,9
2013-01-09 02:00:00,5,"Wednesday",2,9
2013-01-09 03:00:00,3,"Wednesday",3,9
2013-01-09 04:00:00,3,"Wednesday",4,9
2013-01-09 05:00:00,3,"Wednesday",5,9
2013-01-09 06:00:00,0,"Wednesday",6,9
2013-01-09 07:00:00,0,"Wednesday",7,9
2013-01-09 08:00:00,0,"Wednesday",8,9
2013-01-09 09:00:00,4,"Wednesday",9,9
2013-01-09 10:00:00,5,"Wednesday",10,9
2013-01-09 11:00:00,9,"Wednesday",11,9
2013-01-09 12:00:00,11,"Wednesday",12,9
2013-01-09 13:00:00,4,"Wednesday",13,9
2013-01-09 14:00:00,9,"Wednesday",14,9
2013-01-09 15:00:00,11,"Wednesday",15,9
2013-01-09 16:00:00,14,"Wednesday",16,9
2013-01-09 17:00:00,22,"Wednesday",17,9
2013-01-09 18:00:00,21,"Wednesday",18,9
2013-01-09 19:00:00,15,"Wednesday",19,9
2013-01-09 20:00:00,15,"Wednesday",20,9
2013-01-09 21:00:00,16,"Wednesday",21,9
2013-01-09 22:00:00,10,"Wednesday",22,9
2013-01-09 23:00:00,5,"Wednesday",23,9
2013-01-10 00:00:00,4,"Thursday",0,10
2013-01-10 01:00:00,1,"Thursday",1,10
2013-01-10 02:00:00,1,"Thursday",2,10
2013-01-10 03:00:00,5,"Thursday",3,10
2013-01-10 04:00:00,4,"Thursday",4,10
2013-01-10 05:00:00,5,"Thursday",5,10
2013-01-10 06:00:00,3,"Thursday",6,10
2013-01-10 07:00:00,2,"Thursday",7,10
2013-01-10 08:00:00,4,"Thursday",8,10
2013-01-10 09:00:00,9,"Thursday",9,10
2013-01-10 10:00:00,9,"Thursday",10,10
2013-01-10 11:00:00,7,"Thursday",11,10
2013-01-10 12:00:00,6,"Thursday",12,10
2013-01-10 13:00:00,9,"Thursday",13,10
2013-01-10 14:00:00,9,"Thursday",14,10
2013-01-10 15:00:00,10,"Thursday",15,10
2013-01-10 16:00:00,5,"Thursday",16,10
2013-01-10 17:00:00,3,"Thursday",17,10
2013-01-10 18:00:00,5,"Thursday",18,10
2013-01-10 19:00:00,5,"Thursday",19,10
2013-01-10 20:00:00,7,"Thursday",20,10
2013-01-10 21:00:00,6,"Thursday",21,10
2013-01-10 22:00:00,6,"Thursday",22,10
2013-01-10 23:00:00,6,"Thursday",23,10
2013-01-11 00:00:00,4,"Friday",0,11
2013-01-11 01:00:00,1,"Friday",1,11
2013-01-11 02:00:00,1,"Friday",2,11
2013-01-11 03:00:00,1,"Friday",3,11
2013-01-11 04:00:00,2,"Friday",4,11
2013-01-11 05:00:00,3,"Friday",5,11
2013-01-11 06:00:00,4,"Friday",6,11
2013-01-11 07:00:00,4,"Friday",7,11
2013-01-11 08:00:00,5,"Friday",8,11
2013-01-11 09:00:00,8,"Friday",9,11
2013-01-11 10:00:00,7,"Friday",10,11
2013-01-11 11:00:00,8,"Friday",11,11
2013-01-11 12:00:00,12,"Friday",12,11
2013-01-11 13:00:00,10,"Friday",13,11
2013-01-11 14:00:00,11,"Friday",14,11
2013-01-11 15:00:00,5,"Friday",15,11
2013-01-11 16:00:00,3,"Friday",16,11
2013-01-11 17:00:00,9,"Friday",17,11
2013-01-11 18:00:00,10,"Friday",18,11
2013-01-11 19:00:00,10,"Friday",19,11
2013-01-11 20:00:00,6,"Friday",20,11
2013-01-11 21:00:00,6,"Friday",21,11
2013-01-11 22:00:00,5,"Friday",22,11
2013-01-11 23:00:00,6,"Friday",23,11
2013-01-12 00:00:00,5,"Saturday",0,12
2013-01-12 01:00:00,8,"Saturday",1,12
2013-01-12 02:00:00,6,"Saturday",2,12
2013-01-12 03:00:00,8,"Saturday",3,12
2013-01-12 04:00:00,8,"Saturday",4,12
2013-01-12 05:00:00,8,"Saturday",5,12
2013-01-12 06:00:00,3,"Saturday",6,12
2013-01-12 07:00:00,2,"Saturday",7,12
2013-01-12 08:00:00,1,"Saturday",8,12
2013-01-12 09:00:00,2,"Saturday",9,12
2013-01-12 10:00:00,8,"Saturday",10,12
2013-01-12 11:00:00,8,"Saturday",11,12
2013-01-12 12:00:00,8,"Saturday",12,12
2013-01-12 13:00:00,8,"Saturday",13,12
2013-01-12 14:00:00,15,"Saturday",14,12
2013-01-12 15:00:00,19,"Saturday",15,12
2013-01-12 16:00:00,12,"Saturday",16,12
2013-01-12 17:00:00,15,"Saturday",17,12
2013-01-12 18:00:00,13,"Saturday",18,12
2013-01-12 19:00:00,9,"Saturday",19,12
2013-01-12 20:00:00,6,"Saturday",20,12
2013-01-12 21:00:00,5,"Saturday",21,12
2013-01-12 22:00:00,2,"Saturday",22,12
2013-01-12 23:00:00,3,"Saturday",23,12
2013-01-13 00:00:00,2,"Sunday",0,13
2013-01-13 01:00:00,1,"Sunday",1,13
2013-01-13 02:00:00,1,"Sunday",2,13
2013-01-13 03:00:00,3,"Sunday",3,13
2013-01-13 04:00:00,3,"Sunday",4,13
2013-01-13 05:00:00,4,"Sunday",5,13
2013-01-13 06:00:00,5,"Sunday",6,13
2013-01-13 07:00:00,4,"Sunday",7,13
2013-01-13 08:00:00,4,"Sunday",8,13
2013-01-13 09:00:00,6,"Sunday",9,13
2013-01-13 10:00:00,6,"Sunday",10,13
2013-01-13 11:00:00,8,"Sunday",11,13
2013-01-13 12:00:00,9,"Sunday",12,13
2013-01-13 13:00:00,14,"Sunday",13,13
2013-01-13 14:00:00,9,"Sunday",14,13
2013-01-13 15:00:00,4,"Sunday",15,13
2013-01-13 16:00:00,4,"Sunday",16,13
2013-01-13 17:00:00,5,"Sunday",17,13
2013-01-13 18:00:00,7,"Sunday",18,13
2013-01-13 19:00:00,4,"Sunday",19,13
2013-01-13 20:00:00,4,"Sunday",20,13
2013-01-13 21:00:00,5,"Sunday",21,13
2013-01-13 22:00:00,6,"Sunday",22,13
2013-01-13 23:00:00,6,"Sunday",23,13
2013-01-14 00:00:00,3,"Monday",0,14
2013-01-14 01:00:00,3,"Monday",1,14
2013-01-14 02:00:00,6,"Monday",2,14
2013-01-14 03:00:00,3,"Monday",3,14
2013-01-14 04:00:00,3,"Monday",4,14
2013-01-14 05:00:00,4,"Monday",5,14
2013-01-14 06:00:00,2,"Monday",6,14
2013-01-14 07:00:00,1,"Monday",7,14
2013-01-14 08:00:00,1,"Monday",8,14
2013-01-14 09:00:00,7,"Monday",9,14
2013-01-14 10:00:00,10,"Monday",10,14
